'Element';' Description';' Attributes'
'<a>';' Creates a link around SVG elements xlink:show\nxlink:actuate\nxlink:href\ntarget'
'<altGlyph>';' Provides control over the glyphs used to render particular character data ';'x\ny\ndx\ndy\nrotate\nglyphRef\nformat\nxlink:href'
'<altGlyphDef>';' Defines a substitution set for glyphs ';'id'
'<altGlyphItem>';' Defines a candidate set of glyph substitutions ';'id'
'<animate>';' Defines how an attribute of an element changes over time ';'attributeName="the name of the target attribute"\nby="a relative offset value"\nfrom="the starting value"\nto="the ending value"\ndur="the duration"\nrepeatCount="the number of time the animation will take place"'
'<animateMotion>';' Causes a referenced element to move along a motion path ';'calcMode="the interpolation mode for the animation. Can be 'discrete', 'linear', 'paced', 'spline'"\npath="the motion path"\nkeyPoints="how far along the motion path the object shall move at the moment in time"\nrotate="applies a rotation transformation"\nxlink:href="an URI reference to the <path> element which defines the motion path"'
'<animateTransform>';' Animates a transformation attribute on a target element, thereby allowing animations to control translation, scaling, rotation and/or skewing ';'by="a relative offset value"\nfrom="the starting value"\nto="the ending value"\ntype="the type of transformation which is to have its values change over time. Can be 'translate', 'scale', 'rotate', 'skewX', 'skewY'"'
'<circle>';' Defines a circle ';'cx="the x-axis center of the circle"\ncy="the y-axis center of the circle"\nr="The circle's radius". Required.\n\n+ presentation attributes:\nColor, FillStroke, Graphics'
'<clipPath>';' Clipping is about hiding what normally would be drawn. The stencil which defines what is and what isn't drawn is called a clipping path clip-path="the referenced clipping path is intersected with the referencing clipping path"\nclipPathUnits="'userSpaceOnUse' or 'objectBoundingBox'. The second value makes units of children a fraction of the object bounding box which uses the mask (default: 'userSpaceOnUse')"'
'<color-profile>';' Specifies a color profile description (when the document is styled using CSS) local="the unique ID for a locally stored color profile"\nname=""\nrendering-intent="auto|perceptual|relative-colorimetric|saturation|absolute-colorimetric"\nxlink:href="the URI of an ICC profile resource"'
'<cursor>';' Defines a platform-independent custom cursor x="the x-axis top-left corner of the cursor (default is 0)"\ny="the y-axis top-left corner of the cursor (default is 0)"\nxlink:href="the URI of the image to use as the cursor'
'<defs>';' A container for referenced elements'
'<desc>';' A text-only description for container elements or graphic elements in SVG (user agents may display the text as a tooltip)'
